Strategy Name,Placement Name,Creative Name,Creative Size,Event Date,Impressions,Clicks, Media Spend ,Conversions,Conversion Value, ROAS 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,728x90,11/4/2025,427,0, $ 2.35 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,300x250,11/4/2025,4245,2, $ 23.35 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,320x100,11/3/2025,209,1, $ 1.15 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,160x600,11/3/2025,104,0, $ 0.57 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,300x250,11/3/2025,5336,2, $ 29.35 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,728x90,11/3/2025,534,3, $ 2.94 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 6,320x50,11/3/2025,2586,3, $ 14.22 ,1,28, $ 1.97 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x50,11/6/2025,4,1, $ 0.02 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,300x250,11/6/2025,2,2, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,728x90,11/6/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x50,11/5/2025,2,1, $ 0.01 ,0,37.5," $ 3,409.09 "
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x50,11/4/2025,1678,2, $ 9.23 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x100,11/4/2025,142,0, $ 0.78 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,728x90,11/4/2025,415,1, $ 2.28 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,160x600,11/4/2025,51,0, $ 0.28 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,300x250,11/4/2025,3985,3, $ 21.92 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x50,11/3/2025,2223,2, $ 12.23 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,320x100,11/3/2025,124,0, $ 0.68 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,728x90,11/3/2025,478,0, $ 2.63 ,1,120, $ 45.64 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,300x250,11/3/2025,4836,3, $ 26.60 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 7,160x600,11/3/2025,102,0, $ 0.56 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,300x250,11/6/2025,2,1, $ 0.01 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,300x250,11/4/2025,4381,8, $ 24.10 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,728x90,11/4/2025,454,4, $ 2.50 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,160x600,11/4/2025,36,0, $ 0.20 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,320x100,11/4/2025,120,0, $ 0.66 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,320x50,11/4/2025,1838,2, $ 10.11 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,320x100,11/3/2025,140,1, $ 0.77 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,320x50,11/3/2025,2578,2, $ 14.18 ,0,10, $ 0.71 
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,160x600,11/3/2025,118,1, $ 0.65 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,728x90,11/3/2025,530,1, $ 2.92 ,0,0, $ -   
Prospecting,Audience | Near-Market Cannabis Consumers,Creative 8,300x250,11/3/2025,5173,3, $ 28.45 ,0,0, $ -   
Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,300x250,11/7/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,300x250,11/6/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 1,300x250,11/4/2025,1,0, $ 0.01 ,1,35," $ 6,363.64 "
Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,160x600,11/9/2025,1,0, $ 0.01 ,0,0, $ -   
Prospecting,Location | Geo-Conquest Customers of Nearby Competitors,Creative 2,160x600,11/7/2025,1,0, $ 0.01 ,0,0, $ -   
